swissValorNumber,companyLongName,ISIN_BC,LEI,ESGClassification,ESGFactorAVG
48735705,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357052_512,549300ZX814NAJ7F5N60,Main criterias used for a first screening of ESG related products,2.0
48735705,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357052_512,549300ZX814NAJ7F5N60,Greenhouse gas emissions,1530.4
48735705,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357052_512,549300ZX814NAJ7F5N60,Biodiversity,0.6
48735705,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357052_512,549300ZX814NAJ7F5N60,Water,0.33
48735705,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357052_512,549300ZX814NAJ7F5N60,Waste,0.49
48735705,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357052_512,549300ZX814NAJ7F5N60,Social and employee matters,6.66
48735705,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357052_512,549300ZX814NAJ7F5N60,Energy efficiency,0.44
48735713,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357136_393,549300ZX814NAJ7F5N60,Main criterias used for a first screening of ESG related products,2.0
48735713,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357136_393,549300ZX814NAJ7F5N60,Greenhouse gas emissions,1530.4
48735713,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357136_393,549300ZX814NAJ7F5N60,Biodiversity,0.6
48735713,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357136_393,549300ZX814NAJ7F5N60,Water,0.33
48735713,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357136_393,549300ZX814NAJ7F5N60,Waste,0.49
48735713,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357136_393,549300ZX814NAJ7F5N60,Social and employee matters,6.66
48735713,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357136_393,549300ZX814NAJ7F5N60,Energy efficiency,0.44
48735714,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0487357144_393,549300560H4Y12ZD4R43,Main criterias used for a first screening of ESG related products,2.0
48735714,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0487357144_393,549300560H4Y12ZD4R43,Greenhouse gas emissions,1144.56
48735714,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0487357144_393,549300560H4Y12ZD4R43,Biodiversity,0.6
48735714,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0487357144_393,549300560H4Y12ZD4R43,Water,0.36
48735714,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0487357144_393,549300560H4Y12ZD4R43,Waste,0.54
48735714,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0487357144_393,549300560H4Y12ZD4R43,Social and employee matters,2.31
48735714,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0487357144_393,549300560H4Y12ZD4R43,Energy efficiency,0.49
53016419,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0530164190_511,549300ZX814NAJ7F5N60,Main criterias used for a first screening of ESG related products,2.0
53016419,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0530164190_511,549300ZX814NAJ7F5N60,Greenhouse gas emissions,1530.4
53016419,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0530164190_511,549300ZX814NAJ7F5N60,Biodiversity,0.6
53016419,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0530164190_511,549300ZX814NAJ7F5N60,Water,0.33
53016419,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0530164190_511,549300ZX814NAJ7F5N60,Waste,0.49
53016419,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0530164190_511,549300ZX814NAJ7F5N60,Social and employee matters,6.66
53016419,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0530164190_511,549300ZX814NAJ7F5N60,Energy efficiency,0.44
53174738,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0531747381_393,549300560H4Y12ZD4R43,Main criterias used for a first screening of ESG related products,2.0
53174738,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0531747381_393,549300560H4Y12ZD4R43,Greenhouse gas emissions,1144.56
53174738,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0531747381_393,549300560H4Y12ZD4R43,Biodiversity,0.6
53174738,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0531747381_393,549300560H4Y12ZD4R43,Water,0.36
53174738,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0531747381_393,549300560H4Y12ZD4R43,Waste,0.54
53174738,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0531747381_393,549300560H4Y12ZD4R43,Social and employee matters,2.31
53174738,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0531747381_393,549300560H4Y12ZD4R43,Energy efficiency,0.49
53175358,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0531753587_393,549300ZX814NAJ7F5N60,Main criterias used for a first screening of ESG related products,2.0
53175358,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0531753587_393,549300ZX814NAJ7F5N60,Greenhouse gas emissions,1530.4
53175358,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0531753587_393,549300ZX814NAJ7F5N60,Biodiversity,0.6
53175358,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0531753587_393,549300ZX814NAJ7F5N60,Water,0.33
53175358,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0531753587_393,549300ZX814NAJ7F5N60,Waste,0.49
53175358,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0531753587_393,549300ZX814NAJ7F5N60,Social and employee matters,6.66
53175358,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0531753587_393,549300ZX814NAJ7F5N60,Energy efficiency,0.44
57849441,Vontobel Fund (CH) - Pension Invest Yield,CH0578494418_393,5493005ZZWAG5GH0G736,Main criterias used for a first screening of ESG related products,2.67
57849441,Vontobel Fund (CH) - Pension Invest Yield,CH0578494418_393,5493005ZZWAG5GH0G736,Greenhouse gas emissions,48.73
57849441,Vontobel Fund (CH) - Pension Invest Yield,CH0578494418_393,5493005ZZWAG5GH0G736,Biodiversity,0.41
57849441,Vontobel Fund (CH) - Pension Invest Yield,CH0578494418_393,5493005ZZWAG5GH0G736,Water,0.24
57849441,Vontobel Fund (CH) - Pension Invest Yield,CH0578494418_393,5493005ZZWAG5GH0G736,Waste,0.33
57849441,Vontobel Fund (CH) - Pension Invest Yield,CH0578494418_393,5493005ZZWAG5GH0G736,Social and employee matters,2.01
57849441,Vontobel Fund (CH) - Pension Invest Yield,CH0578494418_393,5493005ZZWAG5GH0G736,Energy efficiency,0.32
57849441,Vontobel Fund (CH) - Pension Invest Yield,CH0578494418_393,5493005ZZWAG5GH0G736,Environmental,0.99
57849441,Vontobel Fund (CH) - Pension Invest Yield,CH0578494418_393,5493005ZZWAG5GH0G736,Social,0.26
57849442,Vontobel Fund (CH) - Pension Invest Balanced,CH0578494426_393,549300XWZ4RD8ILEWJ49,Main criterias used for a first screening of ESG related products,2.67
57849442,Vontobel Fund (CH) - Pension Invest Balanced,CH0578494426_393,549300XWZ4RD8ILEWJ49,Greenhouse gas emissions,105.48
57849442,Vontobel Fund (CH) - Pension Invest Balanced,CH0578494426_393,549300XWZ4RD8ILEWJ49,Biodiversity,0.39
57849442,Vontobel Fund (CH) - Pension Invest Balanced,CH0578494426_393,549300XWZ4RD8ILEWJ49,Water,0.23
57849442,Vontobel Fund (CH) - Pension Invest Balanced,CH0578494426_393,549300XWZ4RD8ILEWJ49,Waste,0.32
57849442,Vontobel Fund (CH) - Pension Invest Balanced,CH0578494426_393,549300XWZ4RD8ILEWJ49,Social and employee matters,1.74
57849442,Vontobel Fund (CH) - Pension Invest Balanced,CH0578494426_393,549300XWZ4RD8ILEWJ49,Energy efficiency,0.29
57849442,Vontobel Fund (CH) - Pension Invest Balanced,CH0578494426_393,549300XWZ4RD8ILEWJ49,Environmental,0.76
57849442,Vontobel Fund (CH) - Pension Invest Balanced,CH0578494426_393,549300XWZ4RD8ILEWJ49,Social,0.39
58428853,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288531_393,549300XWZ4RD8ILEWJ49,Main criterias used for a first screening of ESG related products,2.67
58428853,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288531_393,549300XWZ4RD8ILEWJ49,Greenhouse gas emissions,105.48
58428853,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288531_393,549300XWZ4RD8ILEWJ49,Biodiversity,0.39
58428853,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288531_393,549300XWZ4RD8ILEWJ49,Water,0.23
58428853,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288531_393,549300XWZ4RD8ILEWJ49,Waste,0.32
58428853,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288531_393,549300XWZ4RD8ILEWJ49,Social and employee matters,1.74
58428853,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288531_393,549300XWZ4RD8ILEWJ49,Energy efficiency,0.29
58428853,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288531_393,549300XWZ4RD8ILEWJ49,Environmental,0.76
58428853,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288531_393,549300XWZ4RD8ILEWJ49,Social,0.39
58428856,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288564_393,549300XWZ4RD8ILEWJ49,Main criterias used for a first screening of ESG related products,2.67
58428856,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288564_393,549300XWZ4RD8ILEWJ49,Greenhouse gas emissions,105.48
58428856,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288564_393,549300XWZ4RD8ILEWJ49,Biodiversity,0.39
58428856,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288564_393,549300XWZ4RD8ILEWJ49,Water,0.23
58428856,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288564_393,549300XWZ4RD8ILEWJ49,Waste,0.32
58428856,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288564_393,549300XWZ4RD8ILEWJ49,Social and employee matters,1.74
58428856,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288564_393,549300XWZ4RD8ILEWJ49,Energy efficiency,0.29
58428856,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288564_393,549300XWZ4RD8ILEWJ49,Environmental,0.76
58428856,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288564_393,549300XWZ4RD8ILEWJ49,Social,0.39
58428858,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288580_393,549300XWZ4RD8ILEWJ49,Main criterias used for a first screening of ESG related products,2.67
58428858,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288580_393,549300XWZ4RD8ILEWJ49,Greenhouse gas emissions,105.48
58428858,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288580_393,549300XWZ4RD8ILEWJ49,Biodiversity,0.39
58428858,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288580_393,549300XWZ4RD8ILEWJ49,Water,0.23
58428858,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288580_393,549300XWZ4RD8ILEWJ49,Waste,0.32
58428858,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288580_393,549300XWZ4RD8ILEWJ49,Social and employee matters,1.74
58428858,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288580_393,549300XWZ4RD8ILEWJ49,Energy efficiency,0.29
58428858,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288580_393,549300XWZ4RD8ILEWJ49,Environmental,0.76
58428858,Vontobel Fund (CH) - Pension Invest Balanced,CH0584288580_393,549300XWZ4RD8ILEWJ49,Social,0.39
118922334,Julius Baer Edelweiss Fund Equity (CHF),CH1189223345_205,549300KOXOTGUZPWBD38,Main criterias used for a first screening of ESG related products,2.67
124061156,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH1240611561_512,549300ZX814NAJ7F5N60,Main criterias used for a first screening of ESG related products,2.0
124061156,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH1240611561_512,549300ZX814NAJ7F5N60,Greenhouse gas emissions,1530.4
124061156,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH1240611561_512,549300ZX814NAJ7F5N60,Biodiversity,0.6
124061156,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH1240611561_512,549300ZX814NAJ7F5N60,Water,0.33
124061156,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH1240611561_512,549300ZX814NAJ7F5N60,Waste,0.49
124061156,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH1240611561_512,549300ZX814NAJ7F5N60,Social and employee matters,6.66
124061156,Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH1240611561_512,549300ZX814NAJ7F5N60,Energy efficiency,0.44
124061157,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH1240611579_393,549300560H4Y12ZD4R43,Main criterias used for a first screening of ESG related products,2.0
124061157,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH1240611579_393,549300560H4Y12ZD4R43,Greenhouse gas emissions,1144.56
124061157,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH1240611579_393,549300560H4Y12ZD4R43,Biodiversity,0.6
124061157,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH1240611579_393,549300560H4Y12ZD4R43,Water,0.36
124061157,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH1240611579_393,549300560H4Y12ZD4R43,Waste,0.54
124061157,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH1240611579_393,549300560H4Y12ZD4R43,Social and employee matters,2.31
124061157,Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH1240611579_393,549300560H4Y12ZD4R43,Energy efficiency,0.49
95102,Belfius Equities SICAV - Leading Brands,BE0170210729_2732,5493008S0YQRBBNEQK24,Main criterias used for a first screening of ESG related products,2.67
95102,Belfius Equities SICAV - Leading Brands,BE0170210729_2732,5493008S0YQRBBNEQK24,Scoping according to SFDR annex template,0.2
95102,Belfius Equities SICAV - Leading Brands,BE0170210729_2732,5493008S0YQRBBNEQK24,Greenhouse gas emissions,0.27
95102,Belfius Equities SICAV - Leading Brands,BE0170210729_2732,5493008S0YQRBBNEQK24,Social and employee matters,0.32
95102,Belfius Equities SICAV - Leading Brands,BE0170210729_2732,5493008S0YQRBBNEQK24,AMF Doctrine,3.0
95374,Belfius Equities SICAV - Leading Brands,BE0170209713_487,5493008S0YQRBBNEQK24,Main criterias used for a first screening of ESG related products,2.67
95374,Belfius Equities SICAV - Leading Brands,BE0170209713_487,5493008S0YQRBBNEQK24,Scoping according to SFDR annex template,0.2
95374,Belfius Equities SICAV - Leading Brands,BE0170209713_487,5493008S0YQRBBNEQK24,Greenhouse gas emissions,0.27
95374,Belfius Equities SICAV - Leading Brands,BE0170209713_487,5493008S0YQRBBNEQK24,Social and employee matters,0.32
95374,Belfius Equities SICAV - Leading Brands,BE0170209713_487,5493008S0YQRBBNEQK24,AMF Doctrine,3.0
463537,MercLan SICAV - Euro obligatiefonds,BE0142525329_3230,549300BMG7SZN9H44W38,Main criterias used for a first screening of ESG related products,2.67
463537,MercLan SICAV - Euro obligatiefonds,BE0142525329_3230,549300BMG7SZN9H44W38,Scoping according to SFDR annex template,0.1
463537,MercLan SICAV - Euro obligatiefonds,BE0142525329_3230,549300BMG7SZN9H44W38,Greenhouse gas emissions,764.58
463537,MercLan SICAV - Euro obligatiefonds,BE0142525329_3230,549300BMG7SZN9H44W38,Biodiversity,0.27
463537,MercLan SICAV - Euro obligatiefonds,BE0142525329_3230,549300BMG7SZN9H44W38,Water,0.35
463537,MercLan SICAV - Euro obligatiefonds,BE0142525329_3230,549300BMG7SZN9H44W38,Waste,0.74
